ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
2020-04-30 00:06:39.825897984,CZf56Z2esy56Udp99b,10.0.1.6,54243,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,83,
2020-04-30 00:07:59.955475200,C3IP2B3SBL9pAOE6q9,10.0.1.6,65108,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,132,
2020-04-30 00:09:50.836782848,CIE8cF0uF3zoXWxk6,10.0.0.4,123,10.0.1.6,123,udp,,,,,S0,,,0,D,1,148,0,0,
2020-04-30 00:06:39.828685056,CT2Y4g2wVnhdsAtwrh,10.0.1.6,56880,10.0.0.4,445,tcp,"krb,gssapi,smb",0 days 00:00:10.760004,0,1681,OTH,,,0,^hda,0,0,11,2133,
2020-04-30 00:15:23.304440064,C4cUE6PBj9uuqmj1k,10.0.1.6,54192,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,79,
2020-04-30 00:18:00.053144064,CLAJQX2TQaz7ejfNm4,10.0.1.6,56542,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,132,
2020-04-30 00:20:48.595127040,C513BP32BXOilP54i3,10.0.0.4,49667,10.0.1.6,56954,tcp,"dce_rpc,gssapi",0 days 00:00:00.037156,1098,0,OTH,,,0,HADT,8,1570,0,0,
2020-04-30 00:20:48.983251968,C56Cq8WbXg1rAN9A,10.0.0.4,389,10.0.1.6,56956,tcp,,0 days 00:00:00.368968,515,0,OTH,,,0,HADTR,8,996,0,0,
2020-04-30 00:20:48.841814016,CmRXuR2Rmf6QFktECl,10.0.0.4,389,10.0.1.6,56955,tcp,,0 days 00:00:00.514787,4544,0,OTH,,,0,HDATR,11,6595,0,0,
2020-04-30 00:20:48.592348160,CoU6qe2m4Be13IaPe4,10.0.1.6,56953,10.0.0.4,135,tcp,dce_rpc,0 days 00:00:14.711606,0,280,SHR,,,0,^hdtaf,0,0,6,704,
2020-04-30 00:21:23.331679232,CKE5vj3YEVgaGU2pP3,10.0.0.4,49667,10.0.1.6,56954,tcp,,,,,SH,,,0,AF,2,80,0,0,
2020-04-30 00:20:48.482667008,C7SkFV3RerX9ug9vSh,10.0.0.4,389,10.0.1.6,56543,udp,,,,,S0,,,0,D,1,202,0,0,
2020-04-30 00:20:48.872111104,CzoTO52oihtOhSER6g,10.0.0.4,389,10.0.1.6,56545,udp,,,,,S0,,,0,D,1,202,0,0,
2020-04-30 00:26:54.928744960,Cr07Uy2jfRwz5ed2Z9,10.0.0.4,123,10.0.1.6,123,udp,,,,,S0,,,0,D,1,148,0,0,
2020-04-30 00:28:00.103470080,CaPEdL1BIFTEJmOerb,10.0.1.6,56622,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,132,
2020-04-30 00:20:49.292278016,C5rojG1hHa6zS2ucB6,10.0.1.6,56957,10.0.0.4,445,tcp,"krb,gssapi,smb",0 days 00:03:03.003205,0,12520,OTH,,,0,^hdat,0,0,70,16324,
2020-04-30 00:32:43.428101120,CKOpXp3Vxr6lWikXc2,10.0.1.6,64909,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,193,
2020-04-30 00:33:29.274476032,CHZIDN1MKoACCleXO9,10.0.1.4,60775,10.0.1.6,5985,tcp,http,0 days 00:00:00.012038,4719,0,SH,,,0,SADF,9,5091,0,0,
2020-04-30 00:33:27.772179968,ClXgVz3TEAXQj3v5gk,10.0.1.4,60772,10.0.1.6,5985,tcp,http,0 days 00:00:01.519858999,11473,0,SH,,,0,SADF,20,12285,0,0,
2020-04-30 00:33:26.283441920,Ci2v3u20R2zIkvMwoe,10.0.1.4,60771,10.0.1.6,5985,tcp,http,0 days 00:00:03.010729,24430,0,SH,,,0,SADCF,25,14098,0,0,
2020-04-30 00:33:47.771982080,CrLY012OATdFh9p807,10.0.1.6,56837,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,289,
2020-04-30 00:34:54.122176000,CcQOZ69U1HZiGXbK5,10.0.0.4,49667,10.0.1.6,57025,tcp,dce_rpc,0 days 00:00:00.032401,472,0,OTH,,,0,HDT,4,988,0,0,
2020-04-30 00:34:54.196687872,C8GXkq4kVVbSpJH44l,10.0.0.4,389,10.0.1.6,57027,tcp,,0 days 00:00:00.002089999,386,0,OTH,,,0,HDAR,4,558,0,0,
2020-04-30 00:34:51.728611072,CpQCEn4ko4aCElVD6j,10.0.1.6,58829,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,186,
2020-04-30 00:34:51.730969856,CORhVG2GfBgnCnEpgg,10.0.1.6,52350,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,155,
2020-04-30 00:34:54.286920960,CifQ3y4UPt8ueeza4c,10.0.1.6,64562,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,138,
2020-04-30 00:34:54.117288960,CObH5v3YHvpetLGVla,10.0.1.6,57024,10.0.0.4,135,tcp,dce_rpc,0 days 00:00:12.409780,0,280,SHR,,,0,^hdtaf,0,0,6,704,
2020-04-30 00:35:06.527152896,CgwskH1ZNRuBQ4Fku4,10.0.0.4,49667,10.0.1.6,57025,tcp,,,,,SH,,,0,AF,2,80,0,0,
2020-04-30 00:35:25.606391040,CM5iobHJT9rNBIvul,10.0.1.4,60803,10.0.1.6,445,tcp,"krb,gssapi,smb",0 days 00:00:00.526528,4261160,0,S0,,,0,SADCCC,168,218084,0,0,
2020-04-30 00:35:26.036974080,CDXncc3bQcn1VOy9R4,10.0.1.4,60805,10.0.1.6,445,tcp,"gssapi,krb,smb",0 days 00:00:00.048855,2012,0,S0,,,0,SAD,6,2264,0,0,
2020-04-30 00:35:26.037337088,CxOabb3sXNExFxqIvh,10.0.1.4,60806,10.0.1.6,445,tcp,"gssapi,krb,smb",0 days 00:00:00.043535,527228,0,S0,,,0,SADCC,34,33718,0,0,
2020-04-30 00:35:26.038793984,CSS9L04bAP8XzvRZXb,10.0.1.4,60807,10.0.1.6,445,tcp,"gssapi,krb,smb",0 days 00:00:00.094125,527368,0,S0,,,0,SADCC,18,11948,0,0,
2020-04-30 00:35:36.347068928,CSAWdQ3yEmBrdEgnLk,10.0.1.4,60807,10.0.1.6,445,tcp,,,,,OTH,,,0,R,1,40,0,0,
2020-04-30 00:35:36.347072000,CMkgNH1YmxsmyFIwJ6,10.0.1.4,60803,10.0.1.6,445,tcp,,,,,OTH,,,0,R,1,40,0,0,
2020-04-30 00:35:36.345131008,CasPxX24s5hSuNdJil,10.0.1.4,60805,10.0.1.6,445,tcp,,0 days 00:00:00.001964,72,0,OTH,,,0,DR,2,152,0,0,
2020-04-30 00:35:36.345905920,C0ZDU63JK72kHINgk,10.0.1.4,60806,10.0.1.6,445,tcp,,0 days 00:00:00.001365,72,0,OTH,,,0,DR,2,152,0,0,
2020-04-30 00:34:54.009310976,CmU3KX17o2HG235B8h,10.0.0.4,389,10.0.1.6,52351,udp,,,,,S0,,,0,D,1,202,0,0,
2020-04-30 00:34:54.288587008,C5nDuG3LmFohDlNz82,10.0.0.4,389,10.0.1.6,64563,udp,,,,,S0,,,0,D,1,202,0,0,
2020-04-30 00:36:17.825392896,CCrKNL17MGRUHjSP36,10.0.1.4,60811,10.0.1.6,445,tcp,"krb,gssapi,smb",0 days 00:00:00.080135,166026,0,S0,,,0,SADC,20,6604,0,0,
2020-04-30 00:36:17.865700864,CZONgw41mY16hJpu27,10.0.1.4,60815,10.0.1.6,135,tcp,dce_rpc,0 days 00:00:00.055310,328,0,S0,,,0,SAD,5,540,0,0,
2020-04-30 00:36:17.869288960,CMPC9K1MgDI6u6IVB2,10.0.1.4,60816,10.0.1.6,55121,tcp,,0 days 00:00:03.003256,0,0,S0,,,0,S,3,156,0,0,
2020-04-30 00:36:24.874814976,Cd8sI94TfiViMSBPjd,10.0.1.4,60816,10.0.1.6,55121,tcp,,,,,S0,,,0,S,1,52,0,0,
2020-04-30 00:36:32.883645184,CTWlEy1sh4Q6WgS4Al,10.0.1.4,60816,10.0.1.6,55121,tcp,,,,,S0,,,0,S,1,52,0,0,
2020-04-30 00:36:30.341231104,C895Z11jdXnxTrn86e,10.0.1.6,64173,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,79,
2020-04-30 00:36:38.942483968,Cdlmg7j30t9PaSH66,10.0.0.4,389,10.0.1.6,57044,tcp,,0 days 00:00:00.007486,4007,0,OTH,,,0,HDAR,10,4419,0,0,
2020-04-30 00:36:38.950212864,CFBmci1vK1Rt35mRlk,10.0.0.4,389,10.0.1.6,57045,tcp,,0 days 00:00:00.008037,937,0,OTH,,,0,HADR,7,1229,0,0,
2020-04-30 00:36:38.953093888,CXWSJt22AuKTrMQeVl,10.0.0.4,389,10.0.1.6,57046,tcp,,0 days 00:00:00.005332,1273,0,OTH,,,0,HADR,8,1605,0,0,
2020-04-30 00:36:38.961679872,C4BpYM1Fnvrd8XGA7d,10.0.1.6,57047,10.0.0.4,88,tcp,krb_tcp,0 days 00:00:00.001775,0,182,RSTRH,,,0,^hdar,0,0,4,354,
2020-04-30 00:36:38.970573056,C44JiG4jiv69ZpSo88,10.0.1.6,57048,10.0.0.4,88,tcp,krb_tcp,0 days 00:00:00.001480,0,1535,RSTRH,,,0,^hdar,0,0,5,1747,
2020-04-30 00:36:38.972923904,CznM9s1Yu8XdN4OUed,10.0.1.6,57049,10.0.0.4,88,tcp,krb_tcp,0 days 00:00:00.001552,0,1465,RSTRH,,,0,^hadr,0,0,6,1717,
2020-04-30 00:36:39.298523904,C3oN2gERUj6I1zDC7,10.0.1.4,60819,10.0.1.6,55121,tcp,,0 days 00:00:03.014851,0,0,S0,,,0,S,3,156,0,0,
2020-04-30 00:36:46.317092864,CEsuwu3BnxQ5LhMgX5,10.0.1.4,60819,10.0.1.6,55121,tcp,,,,,S0,,,0,S,1,52,0,0,
2020-04-30 00:36:54.326994944,CY3D3fcReQpz3z1N7,10.0.1.4,60819,10.0.1.6,55121,tcp,,,,,S0,,,0,S,1,52,0,0,
2020-04-30 00:36:39.297159936,C5er3J1efptRmAvPUf,10.0.1.4,60815,10.0.1.6,135,tcp,dce_rpc,0 days 00:00:21.021406,168,0,OTH,,,0,DAR,3,288,0,0,
2020-04-30 00:36:28.568589824,CXcGN24w4VcArKfvic,10.0.1.4,60811,10.0.1.6,445,tcp,"dce_rpc,smb",0 days 00:00:42.906548,27601,0,OTH,,,0,DACR,65,11439,0,0,
2020-04-30 00:37:53.310990080,ClUARe3KKm2ujMOzS,10.0.1.4,60824,10.0.1.6,445,tcp,"krb,gssapi,smb",0 days 00:00:00.080723,166026,0,S0,,,0,SADC,24,12436,0,0,
2020-04-30 00:37:53.357014784,CqZb0v2jASi5ywiyFj,10.0.1.4,60828,10.0.1.6,135,tcp,dce_rpc,0 days 00:00:00.050446,328,0,S0,,,0,SAD,5,540,0,0,
2020-04-30 00:37:53.361604864,CIbKnp4FuW3IjKZRs2,10.0.1.4,60829,10.0.1.6,55121,tcp,,0 days 00:00:03.008784,0,0,S0,,,0,S,3,156,0,0,
2020-04-30 00:38:00.376198144,CDZBq5q5rX1UwSp5,10.0.1.4,60829,10.0.1.6,55121,tcp,,,,,S0,,,0,S,1,52,0,0,
2020-04-30 00:38:00.207535872,CUr7Xi3bGGR9YTO9nd,10.0.1.6,51985,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,132,
2020-04-30 00:38:08.390116096,C2k9LKPgzf9PVVpY1,10.0.1.4,60829,10.0.1.6,55121,tcp,,,,,S0,,,0,S,1,52,0,0,
2020-04-30 00:38:14.426341120,CGO2Od2wVr0Z67dEy4,10.0.0.4,389,10.0.1.6,57055,tcp,,0 days 00:00:00.005979,1273,0,OTH,,,0,HADR,8,1605,0,0,
2020-04-30 00:38:14.436801792,CixCXP1PWVsPfv9Og3,10.0.0.4,389,10.0.1.6,57057,tcp,,0 days 00:00:00.005870,1273,0,OTH,,,0,HADR,8,1605,0,0,
2020-04-30 00:38:14.434030080,Cq0GKs3ugWnvnasNlf,10.0.0.4,389,10.0.1.6,57056,tcp,,0 days 00:00:00.008662,937,0,OTH,,,0,HADR,7,1229,0,0,
2020-04-30 00:38:14.445594112,CRhvjj1IIBZUaIMvIf,10.0.1.6,57058,10.0.0.4,88,tcp,krb_tcp,0 days 00:00:00.001188,0,182,RSTRH,,,0,^hdar,0,0,4,354,
2020-04-30 00:38:14.454371072,C6piLT3l0WenU4fN66,10.0.1.6,57059,10.0.0.4,88,tcp,krb_tcp,0 days 00:00:00.001955999,0,1535,RSTRH,,,0,^hdar,0,0,5,1747,
2020-04-30 00:38:14.456461056,CvZelK1ynVcBIydQ0b,10.0.1.6,57060,10.0.0.4,88,tcp,krb_tcp,0 days 00:00:00.002620,0,1465,RSTRH,,,0,^hadr,0,0,6,1717,
2020-04-30 00:38:14.656750848,Cx7o9Vl79C6VOSZn2,10.0.1.4,60831,10.0.1.6,55121,tcp,,0 days 00:00:03.012385,0,0,S0,,,0,S,3,156,0,0,
2020-04-30 00:38:21.669699840,CCLrt41cfns9ltOMii,10.0.1.4,60831,10.0.1.6,55121,tcp,,,,,S0,,,0,S,1,52,0,0,
2020-04-30 00:33:28.214093824,CEcuQw1M21j26bM1v8,10.0.1.4,60774,10.0.1.6,5985,tcp,http,0 days 00:00:01.074699,16130,0,SH,,,0,SADCF,21,12728,0,0,
2020-04-30 00:38:29.672723968,CeXeVv46SJwwMGyyTf,10.0.1.4,60831,10.0.1.6,55121,tcp,,,,,S0,,,0,S,1,52,0,0,
2020-04-30 00:38:14.655294976,CwU8rh4fUtASvql2vc,10.0.1.4,60828,10.0.1.6,135,tcp,dce_rpc,0 days 00:00:21.028759,168,0,OTH,,,0,DAR,3,288,0,0,
2020-04-30 00:38:39.484569088,C27Q2U1qGGZH6nAafj,10.0.0.4,49667,10.0.1.6,57064,tcp,"dce_rpc,gssapi",0 days 00:00:00.033904,1034,0,OTH,,,0,HADT,8,1506,0,0,
2020-04-30 00:38:04.038067200,CtDyRl3peudWf53Zzj,10.0.1.4,60824,10.0.1.6,445,tcp,"dce_rpc,smb",0 days 00:00:42.917445,27601,0,OTH,,,0,DACR,65,11439,0,0,
2020-04-30 00:38:39.480933888,Cn3BBn2ERICv5YFLR1,10.0.1.6,57063,10.0.0.4,135,tcp,dce_rpc,0 days 00:00:14.991733,0,280,SHR,,,0,^hdtaf,0,0,6,704,
2020-04-30 00:39:14.473102080,CYAEdpFiBFZO7byKh,10.0.0.4,49667,10.0.1.6,57064,tcp,,0 days 00:00:00.000001,0,0,SH,,,0,AF,2,80,0,0,
2020-04-30 00:39:42.597137920,CW6TzDClt2fRVGng,10.0.1.4,60838,10.0.1.6,445,tcp,,0 days 00:00:00.025717,301,0,OTH,,,0,SADR,5,513,0,0,
2020-04-30 00:39:42.711929088,CvHgo51ijzoi6RIKc9,10.0.1.4,60839,10.0.1.6,80,tcp,,0 days 00:00:03.010802,0,0,S0,,,0,S,3,156,0,0,
2020-04-30 00:34:54.199963136,CithlUuNuX74uuFzj,10.0.0.4,389,10.0.1.6,57028,tcp,,0 days 00:00:00.009282,6019,0,OTH,,,0,HDACR,7,3475,0,0,
2020-04-30 00:34:54.210699008,Cj6jjp1uBdmNSF7zJ8,10.0.0.4,389,10.0.1.6,57029,tcp,,0 days 00:00:00.378829,16107,0,OTH,,,0,HADCTR,21,7057,0,0,
2020-04-30 00:39:49.737575168,C1HYMi45pbHjiyRbxc,10.0.1.4,60839,10.0.1.6,80,tcp,,,,,S0,,,0,S,1,52,0,0,
2020-04-30 00:39:57.752120064,CBHhoc1MHuXsgtHCD2,10.0.1.4,60839,10.0.1.6,80,tcp,,,,,S0,,,0,S,1,52,0,0,
2020-04-30 00:34:54.130942208,CKID7x1vmKDrhHW2e4,10.0.1.6,57026,10.0.0.4,445,tcp,"krb,gssapi,smb",0 days 00:00:10.735918,0,16305,OTH,,,0,^hdat,0,0,125,21701,
2020-04-30 00:40:03.754964224,CnSuSr2M1zAkvAl34k,10.0.1.4,60843,10.0.1.6,445,tcp,,0 days 00:00:00.005702,301,0,OTH,,,0,SADR,5,513,0,0,
2020-04-30 00:40:03.762622208,CEXApu1o1WgILu92le,10.0.1.4,60844,10.0.1.6,445,tcp,,0 days 00:00:00.003167,228,0,OTH,,,0,SADR,4,400,0,0,
2020-04-30 00:40:03.766482944,Co3MyK1beqAE6ALdqd,10.0.1.4,60845,10.0.1.6,445,tcp,,0 days 00:00:00.003200,228,0,OTH,,,0,SADR,4,400,0,0,
2020-04-30 00:40:03.771393024,CwViR81bmR0sU3qyX7,10.0.1.4,60846,10.0.1.6,445,tcp,,0 days 00:00:00.002058,228,0,OTH,,,0,SADR,4,400,0,0,
2020-04-30 00:40:03.774183936,Ct8FyTbC3iTvRDlQk,10.0.1.4,60847,10.0.1.6,445,tcp,,0 days 00:00:00.002383,228,0,OTH,,,0,SADR,4,400,0,0,
2020-04-30 00:40:03.777765120,C3cjmh38zxsPj6Okmj,10.0.1.4,60848,10.0.1.6,445,tcp,,0 days 00:00:00.002368,228,0,OTH,,,0,SADR,4,400,0,0,
2020-04-30 00:40:03.781574912,C1BKpX2YpIOphzFmY8,10.0.1.4,60849,10.0.1.6,445,tcp,,0 days 00:00:00.003968,228,0,OTH,,,0,SADR,4,400,0,0,
2020-04-30 00:40:03.166380032,CK7yu9ZVCcFSZ6cN6,10.0.1.6,50954,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,179,
2020-04-30 00:40:03.292823040,CaSb6321X3FPuwLp75,10.0.1.6,64035,10.0.0.4,53,udp,dns,,,,SHR,,,0,^d,0,0,1,108,
2020-04-30 00:40:22.417683968,Cb62jZzZCTKiCFRZ5,10.0.1.4,60853,10.0.1.6,445,tcp,"krb,gssapi,smb",0 days 00:00:00.069719,166026,0,S0,,,0,SADC,19,5146,0,0,
2020-04-30 00:40:22.457252864,CVownM3G6Ybgb51K5,10.0.1.4,60857,10.0.1.6,135,tcp,dce_rpc,0 days 00:00:00.045687,328,0,S0,,,0,SAD,5,540,0,0,
2020-04-30 00:40:22.462123008,CexYLi4kOAfafvi8Fj,10.0.1.4,60858,10.0.1.6,55121,tcp,,0 days 00:00:03.006284,0,0,S0,,,0,S,3,156,0,0,
2020-04-30 00:40:29.482755072,C0vvoK3KgjKI7fjDhi,10.0.1.4,60858,10.0.1.6,55121,tcp,,,,,S0,,,0,S,1,52,0,0,
2020-04-30 00:40:37.486216192,CS1kLH1RksxrPNjZE6,10.0.1.4,60858,10.0.1.6,55121,tcp,,,,,S0,,,0,S,1,52,0,0,
2020-04-30 00:40:43.701908992,CUx1XI3U28UN6o6YUg,10.0.0.4,389,10.0.1.6,57083,tcp,,0 days 00:00:00.006843,1273,0,OTH,,,0,HADR,8,1605,0,0,
2020-04-30 00:40:43.709929984,CgrOk7Sv3dJQ4YUN,10.0.0.4,389,10.0.1.6,57084,tcp,,0 days 00:00:00.012060,937,0,OTH,,,0,HADR,7,1229,0,0,
2020-04-30 00:40:43.713880064,Cs47Dn3TDAeUHVR3Kd,10.0.0.4,389,10.0.1.6,57085,tcp,,0 days 00:00:00.009733,1273,0,OTH,,,0,HADR,8,1605,0,0,
2020-04-30 00:40:43.724483840,CkONW72A2rlE1UmN5,10.0.1.6,57086,10.0.0.4,88,tcp,krb_tcp,0 days 00:00:00.003507,0,182,RSTRH,,,0,^hdar,0,0,4,354,
2020-04-30 00:40:43.732919808,CcdkW62atmPgq3mTQc,10.0.1.6,57087,10.0.0.4,88,tcp,krb_tcp,0 days 00:00:00.001845,0,1535,RSTRH,,,0,^hdar,0,0,5,1747,
2020-04-30 00:40:43.734828032,CxK7b9428slv60NGsk,10.0.1.6,57088,10.0.0.4,88,tcp,krb_tcp,0 days 00:00:00.002092,0,1465,RSTRH,,,0,^hadr,0,0,6,1717,
2020-04-30 00:40:44.733177856,ChV8pd1O9dFYRURcT2,192.168.0.4,8443,10.0.1.6,57091,tcp,,0 days 00:00:00.242855,55873,0,SH,,,0,HADCF,6,2241,0,0,
2020-04-30 00:40:44.996624896,CZtMq32hrHuCrisBsf,192.168.0.4,8443,10.0.1.6,57092,tcp,,0 days 00:00:00.008421,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.006258944,CaVxFS0cQJHKmjrh2,192.168.0.4,8443,10.0.1.6,57093,tcp,,0 days 00:00:00.007124,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.122040064,CgEHoW2gvCdlP43pCj,192.168.0.4,8443,10.0.1.6,57094,tcp,,0 days 00:00:00.007979,2396,0,SH,,,0,HADF,6,2648,0,0,
2020-04-30 00:40:45.132153088,Ch8JwV2c1uEUNA00Ta,192.168.0.4,8443,10.0.1.6,57095,tcp,,0 days 00:00:00.007248,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.140567040,Cd7xa24XKp8QJ8wCib,192.168.0.4,8443,10.0.1.6,57096,tcp,,0 days 00:00:00.006876,1921,0,SH,,,0,HADF,6,2173,0,0,
2020-04-30 00:40:45.165572864,CqB4np4DDioqgU8tw4,192.168.0.4,8443,10.0.1.6,57097,tcp,,0 days 00:00:00.007801,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.174796032,CAOsSe31RSCI2KWGLl,192.168.0.4,8443,10.0.1.6,57098,tcp,,0 days 00:00:00.009703,1952,0,SH,,,0,HADF,6,2204,0,0,
2020-04-30 00:40:45.186569984,CcwGIy2oFXgdXS6W05,192.168.0.4,8443,10.0.1.6,57099,tcp,,0 days 00:00:00.009045,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.196760832,C5xF9J3S6E4jah9e6h,192.168.0.4,8443,10.0.1.6,57100,tcp,,0 days 00:00:00.008465,1937,0,SH,,,0,HADF,6,2189,0,0,
2020-04-30 00:40:45.207173120,CUiCRW1pYEdjTOfUZg,192.168.0.4,8443,10.0.1.6,57101,tcp,,0 days 00:00:00.008035,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.216711168,C3l2m4GiSZGtQ12xg,192.168.0.4,8443,10.0.1.6,57102,tcp,,0 days 00:00:00.052405,99201,0,SH,,,0,HADCF,7,4487,0,0,
2020-04-30 00:40:45.331252992,CpP7Xi3rLLFiD6piS8,192.168.0.4,8443,10.0.1.6,57103,tcp,,0 days 00:00:00.008960,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.341597952,CZAA1x1G4NESIQZt7d,192.168.0.4,8443,10.0.1.6,57104,tcp,,0 days 00:00:00.010431,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.354088960,Cu52S51MQCPtOfMVn3,192.168.0.4,8443,10.0.1.6,57105,tcp,,0 days 00:00:00.008378999,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.465536000,CqJz4n1mEdDN3sxlXj,192.168.0.4,8443,10.0.1.6,57106,tcp,,0 days 00:00:00.048332,1921,0,SH,,,0,HADF,6,2173,0,0,
2020-04-30 00:40:45.516045056,CknAAA31dZirQlJpIh,192.168.0.4,8443,10.0.1.6,57107,tcp,,0 days 00:00:00.009383,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.527313920,CAmH6g3tSibHN0xb4,192.168.0.4,8443,10.0.1.6,57108,tcp,,0 days 00:00:00.006311,1931,0,SH,,,0,HADF,6,2183,0,0,
2020-04-30 00:40:45.535224832,ChZPCA6B5g7rPIqYf,192.168.0.4,8443,10.0.1.6,57109,tcp,,0 days 00:00:00.006495,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.544069120,CkwH0l3oQLcOAmskk8,192.168.0.4,8443,10.0.1.6,57110,tcp,,0 days 00:00:00.008045,1932,0,SH,,,0,HADF,6,2184,0,0,
2020-04-30 00:40:45.554253056,C2pTwj2VmyAGR4tSrb,192.168.0.4,8443,10.0.1.6,57111,tcp,,0 days 00:00:00.008302,1823,0,SH,,,0,HADF,6,2075,0,0,
2020-04-30 00:40:45.563691008,CLyrdm2ffUK3KoUJs7,192.168.0.4,8443,10.0.1.6,57112,tcp,,0 days 00:00:00.005932,1944,0,SH,,,0,HADF,6,2196,0,0,
2020-04-30 00:40:45.570912000,CUNRCNn5g9OfO9sU8,192.168.0.4,8443,10.0.1.6,57113,tcp,,0 days 00:00:00.006839,1823,0,SH,,,0,HADF,6,2075,0,0,
